CODFILIAL;NUMPED;CNPJ_FORNECEDOR;FORNECEDOR;CNPJ_CLIENTE;CLIENTE;ESTADO;TOTAL_FATURADO;VALOR_DEVOLVIDO
1;4001747;30791;LABORATORIO TEUTO BRASILEIRO S/A;80432,0;JARLISON LINO DE QUEIROZ ME;CE;3262,81;
3;14020373;30241;KIMBERLY-CLARK BRASIL IND.E CO;86926,0;FARMACIAS FERNANDES LTDA FL 08;CE;1169,79;
3;14020374;30241;KIMBERLY-CLARK BRASIL IND.E CO;86926,0;M L FERNANDES FARMACIA FL 06;CE;1169,79;
3;14020375;30241;KIMBERLY-CLARK BRASIL IND.E CO;86926,0;M L FERNANDES MATRIZ 01;CE;1169,79;
3;14020376;30241;KIMBERLY-CLARK BRASIL IND.E CO;86926,0;FARMACIA INGAZEIRAS LTDA FL 03;CE;6488,04;
3;14020377;30241;KIMBERLY-CLARK BRASIL IND.E CO;86926,0;FARMACIA MANDACARU LTDA FL 05;CE;1169,79;
3;14020378;30241;KIMBERLY-CLARK BRASIL IND.E CO;86926,0;FARMACIAS FERNANDES LTDA FL 07;CE;1169,79;
3;14020379;30241;KIMBERLY-CLARK BRASIL IND.E CO;86926,0;M.M.DE MACEDO;CE;1169,79;
3;14020380;30241;KIMBERLY-CLARK BRASIL IND.E CO;86926,0;M L FERNANDES FL 04;CE;1169,79;
3;33014028;30241;KIMBERLY-CLARK BRASIL IND.E CO;96838,0;FARMACIA POPULAR DA FAMILIA II LTDA;CE;2339,61;
1;42113693;47252;HYPERA S.A;96663,0;ORGANIZACAO POP FARMA LTDA  ME;CE;1283,99;
1;42113694;47252;HYPERA S.A;80636,0;SANTA BRANCA EMPREENDIMENTOS FARMACEUTICOS LTDA;CE;282,51;
1;42113697;47252;HYPERA S.A;96663,0;FRANCISCO GLEISON DA COSTA MARQUES;CE;598,53;
1;42113706;793120;HYPERA S.A;83144,0;FARMACIA DOSE CERTA LJ 11;CE;2268,66;
1;42113706;47252;HYPERA S.A;83144,0;FARMACIA DOSE CERTA LJ 11;CE;2268,66;
1;42113707;793120;HYPERA S.A;83144,0;FARMACIA DOSE CERTA LJ 08;CE;547,78;
1;42113707;47252;HYPERA S.A;83144,0;FARMACIA DOSE CERTA LJ 08;CE;547,78;
1;42113708;47252;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMACEUTICA LTDA;CE;2184,04;
1;42113708;793120;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMACEUTICA LTDA;CE;2184,04;
1;42113709;793120;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMAC;CE;1365,45;
1;42113709;47252;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMAC;CE;1365,45;
1;42113710;793120;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMACE;CE;3297,66;
1;42113710;47252;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMACE;CE;3297,66;
1;42113720;47252;HYPERA S.A;96663,0;ORGANIZACAO POP FARMA LTDA  ME;CE;108085,0;
1;42113721;47252;HYPERA S.A;96663,0;ORGANIZACAO POP FARMA LTDA  ME;CE;861,68;
1;42113900;47252;HYPERA S.A;96663,0;ORGANIZACAO POP FARMA LTDA  ME;CE;3359,65;
1;42113900;793120;HYPERA S.A;96663,0;ORGANIZACAO POP FARMA LTDA  ME;CE;3359,65;
1;42113902;47252;HYPERA S.A;96663,0;ORGANIZACAO POP FARMA LTDA  ME;CE;238,9;238,9
1;42113903;47252;HYPERA S.A;83144,0;FARMACIA DOSE CERTA LJ 08;CE;493,4;
1;42113905;47252;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMAC;CE;5038,83;
1;42113906;47252;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMACEUTICA LTDA;CE;1133,92;
1;42113907;47252;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMACEUTICA LTDA;CE;2353,25;
1;42113908;47252;HYPERA S.A;83144,0;FARMACIA DOSE CERTA LJ 20;CE;1360,56;
1;42113909;47252;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARM.;CE;620,22;
1;42113910;47252;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMACEUTICA LTDA;CE;847,09;
1;42113911;47252;HYPERA S.A;83144,0;SANFARMA SANTO ANTONIO FARMACE;CE;2637,88;
1;58060365;30791;LABORATORIO TEUTO BRASILEIRO S/A;81846,0;M.M REGO;CE;1262,45;
1;58060366;30791;LABORATORIO TEUTO BRASILEIRO S/A;123829,0;R DA SILVA VIEIRA  ME;CE;2516,69;
1;58060367;30791;LABORATORIO TEUTO BRASILEIRO S/A;87096,0;MELO E CARVALHO LTDA;CE;3493,56;
1;58060368;30791;LABORATORIO TEUTO BRASILEIRO S/A;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;5756,72;
1;58060370;33928;GEOLAB IND FARMACEUTICA S/A;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;2719,3;
1;58060371;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;901,92;
1;58060371;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;901,92;
1;58060372;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;80732,0;A.B DOS SANTOS - ME;CE;963,65;
1;58060372;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;80732,0;A.B DOS SANTOS - ME;CE;963,65;
