fornecedor_nome;fornecedor_cnpj;cliente_nome;cliente_cnpj;estado;total_valor_pedido;total_pedidos_qtd
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIA MAGALHAES;123951;CE;1015.77;1
BIOSINTETICA FARMACEUTICA LTDA;7676;MARCIA JORDANA ARAUJO LIMA;95658;CE;1606.96;1
EMS S/A;5582;DROGARIA POPULAR HOLANDA;94120;MA;1430.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA EMILIANA;60550;PI;5498.90;1
NATULAB LABORATORIO LTDA;33057;A R DE OLIVEIRA - ME;91312;CE;5663.00;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARM.ELTON;80588;CE;1687.84;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;FARMACIA PONTUAL;86558;CE;531.75;1
SOFTYS BRASIL LTDA;789603;JOSE DION FREITAS EIRELI ME;95528;CE;25134.60;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FEIRAO ATACADO;82333;CE;3000.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FCIA DO TRABALHOR DE;92963;MA;5342.82;1
EMS S/A;5582;IBIFARMA COMERCIO DE PRODUTOS FARMACEUTICOS E HOSPITALARES;118722;CE;1024.05;1
TORRENT DO BRASIL LTDA;792019;SERRANA FARMA;96621;CE;3063.28;2
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FARM.LIMOEIRENSE;80983;CE;697.20;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;S S FARMACIAS LTDA;97917;MA;1993.78;1
BEBE SAUDE LTDA;790756;FARMACIAS SUPER FARMA;5287;BA;2381.55;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;AMERICA DROGARIAS 2;97011;PI;16826.11;1
TORRENT DO BRASIL LTDA;792019;COMERCIAL DE MEDICAMENTOS SOLONOPOLE LTDA;80564;CE;1025.68;1
NEOQUIMICA;47252;FARMACIA MURILO FARMA;121394;CE;4253.71;1
ACCUMED PROD MED HOSP LTDA;48933;SERRANA FARMA;96621;CE;2084.52;2
KIMBERLY-CLARK BRASIL IND.E CO;30241;AFDC DISTRIBUIDORA LTDA;133168;CE;261161.45;2
SOFTYS BRASIL LTDA;789603;FARMACIA SAUDE 10;119094;BA;14400.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA AGUIAR;121553;CE;7086.48;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA ALDESUL (FILIAL 2);80576;CE;671.31;1
GEOLAB IND FARMACEUTICA S/A;33928;DROGARIA ULTRA POPULAR;95647;MA;1724.42;1
GEOLAB IND FARMACEUTICA S/A;33928;FARM FERNANDES;86926;CE;5264.10;1
GERMED FARMACEUTICA LTDA;53333;DROGARIA RENDE MAIS ;119511;MA;525.78;1
SOFTYS BRASIL LTDA;789603;FRANCILIO HILDERBRANDO FERNANDES RODRIGUES MEE;95621;PI;50087.80;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA DO MIGUEL;72753;MA;8099.76;1
SOFTYS BRASIL LTDA;789603;FARMACIA SAO MIGUEL;81413;CE;6229.02;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;DROGARIAS ULTRA POPULAR;97835;CE;13705.79;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA PADRE CICERO;80382;CE;1107.44;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;FARMACIA NATURALLE;20039;CE;120000.00;1
LABORATORIO GLOBO LTDA;31305;DROGARIA MAIS POPULAR;92319;MA;10508.78;1
NEOQUIMICA;47252;FARMACIA PAGUE POUCO;101749;PE;11200.00;1
HIDROLIGHT DO BRASIL S.A;791209;DROGARIA FEITOSA;80467;CE;1416.96;2
NEOQUIMICA;47252;FARMACIA DONATO;8265;CE;20000.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIAS OMEGA;93004;MA;110053.64;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;FARMACIA PADRE CICERO;86861;CE;1010.45;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FARMALOPES;120928;CE;1326.84;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA NOGUEIRA;119544;CE;4598.06;5
GERMED FARMACEUTICA LTDA;53333;FARMACIAS DO TRABALHADOR DO NORDESTE;10011;BA;22000.00;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMACIA REALCE;80088;CE;861.91;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;TOTAL PLUS;20061;CE;10825.80;3
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA DO TRABALHADOR DO POVO;123844;CE;1002.45;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;FARMACIAS DA ECONOMIA LTDA;601;BA;22639.16;1
GEOLAB IND FARMACEUTICA S/A;33928;FERNANDES FARMA;96481;CE;3331.00;1
WELLA BRASIL LTDA;794029;BRASIL FARMA;102863;PE;1000.00;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;SLIM FARMA DRUGSTORE LTDA;124954;CE;3233.10;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;DROGARIA POPULAR HOLANDA;94120;MA;1307.93;1
SOFTYS BRASIL LTDA;789603;FARMACIA PADRE CICERO;86861;CE;10057.88;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;COMERCIAL DE MEDICAMENTOS NUNES LTDA;80564;CE;1934.12;1
WELLA BRASIL LTDA;794029;J I ARAUJO MEDICAMENTOS;91357;CE;1000.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA MODERNA;81846;CE;3800.00;1
NEOQUIMICA;47252;SUPERFARMA;86849;CE;38856.17;2
TORRENT DO BRASIL LTDA;792019;FARMACIA REALCE;80088;CE;894.06;1
NATULAB LABORATORIO LTDA;33057;FARMACIA SAO BENTO ;96970;CE;1505.33;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;SUPERMERCADO MORANGUINHO LTDA;87995;CE;2724.02;1
TORRENT DO BRASIL LTDA;792019;FARMA VITOR;75779;MA;646.88;1
